GDX_Close,GDX_High,SF_Low,SF_Price,EG_low,EG_open,PLT_Price,PLT_High,Adj Close
43.23,44.419998,58881,58953,60.849998,63.25,1681.1,1692.7,161.419998
41.919998,43.060001,58176,58250,57.0,60.450001,1696.15,1696.95,160.649994
41.48,42.080002,57677,57762,56.400002,57.150002,1668.65,1699.25,160.28999299999995
42.25,42.419998,57711,57906,56.75,58.549999,1682.3,1682.6,160.990005
41.959999,43.139999,57712,59061,56.700001,58.450001,1688.85,1693.45,162.190002
41.619999,41.93,57472,57849,55.5,56.650002,1677.1,1688.8,161.199997
42.220001,42.389999,57729,58502,55.75,56.799999,1684.7,1693.65,161.449997
42.34,42.880001,57910,58418,55.5,55.75,1699.85,1708.95,162.0
42.259998,42.669998,58052,58356,55.549999,56.849998,1714.15,1714.7,161.96000700000005
42.540001,42.619999,58076,58376,56.349998,56.5,1737.6,1741.9,162.389999
42.599998,42.939999,57762,58041,55.599998,55.950001,1718.35,1742.9,161.839996
42.32,42.77,57966,58212,55.950001,56.650002,1716.75,1733.3,161.570007
41.470001,41.970001,57542,57661,54.549999,55.599998,1696.3,1719.95,159.699997
41.919998,41.990002,57211,57555,53.900002,54.650002,1722.45,1724.55,159.889999
41.200001,42.080002,57405,57442,53.200001,55.0,1722.9,1735.75,159.050003
41.360001,42.009998,56550,56630,53.049999,53.599998,1714.15,1734.9,158.350006
39.889999,40.830002,55947,56086,50.150002,52.650002,1680.65,1717.05,155.759995
39.369999,39.77,54872,55171,48.75,49.700001,1692.6,1703.9,155.330002
37.450001,38.880001,53266,53720,47.0,49.049999,1648.8,1698.9,151.440002
38.119999,38.709999,53077,54112,47.349998,47.450001,1624.75,1651.15,152.619995
37.93,38.459999,53156,53304,47.950001,50.0,1609.9,1631.55,152.970001
38.57,39.0,53512,53972,48.75,48.75,1612.5,1630.6,154.339996
39.049999,39.290001,53401,54582,49.849998,51.099998,1622.25,1625.65,156.220001
38.259998,38.720001,53680,53786,49.799999,51.900002,1604.3,1625.65,154.570007
37.400002,38.099998,53145,53267,48.549999,50.049999,1585.25,1607.65,153.0
37.110001,37.779999,52621,53711,48.799999,49.5,1573.5,1585.45,152.440002
35.91,37.119999,53587,53801,47.5,49.599998,1571.95,1584.95,152.300003
35.93,36.650002,53750,53803,47.549999,48.450001,1593.5,1597.45,152.380005
37.439999,37.450001,54502,54968,46.099998,47.650002,1591.25,1602.8,153.229996
36.91,38.060001,54616,54656,47.700001,49.0,1603.95,1604.2,152.690002
37.110001,37.580002,53892,54854,46.700001,47.25,1604.8,1609.75,152.71000700000005
36.959999,37.330002,54437,54593,46.299999,47.75,1605.15,1608.15,152.990005
37.880001,38.200001,54582,54943,47.349998,47.450001,1594.25,1614.7,154.190002
36.869999,38.029999,54580,54757,46.400002,48.349998,1589.0,1601.55,153.660004
37.25,37.459999,54084,54289,46.200001,46.349998,1592.25,1594.2,153.679993
37.34,37.57,54146,54192,46.849998,47.150002,1590.95,1598.55,154.0
37.48,38.09,54057,54321,47.75,48.099998,1581.5,1589.75,155.380005
37.580002,37.849998,54201,54707,46.950001,48.049999,1560.55,1584.8,156.080002
37.450001,37.709999,54279,54331,46.849998,47.150002,1577.2,1582.9,155.369995
38.43,38.580002,54150,55063,47.450001,48.150002,1577.65,1587.7,156.25
38.16,38.549999,53972,54125,47.900002,48.150002,1583.25,1586.4,155.550003
37.669998,38.130001,53614,54212,47.799999,48.650002,1590.25,1593.1,155.240005
37.380001,37.669998,53924,54078,46.549999,47.900002,1577.6,1590.6,154.720001
38.0,38.080002,53250,54062,46.549999,46.799999,1583.7,1586.7,155.360001
37.849998,37.93,53385,53564,46.950001,47.75,1574.65,1589.05,154.449997
37.450001,37.880001,52554,52725,46.599998,47.549999,1596.55,1603.75,154.669998
35.880001,36.990002,51254,51473,42.349998,46.25,1577.75,1598.2,152.429993
34.25,36.18,50423,50722,39.549999,42.549999,1531.75,1577.1,150.729996
35.220001,35.419998,50553,50955,39.700001,40.200001,1521.45,1533.9,150.28999299999995
35.060001,35.99000200000001,50763,51479,40.349998,41.700001,1539.3,1539.3,152.809998
34.650002,35.299999,51070,51198,40.150002,40.849998,1538.9,1544.75,152.160004
36.029999,36.290001,51164,52163,40.299999,40.5,1546.95,1557.35,153.339996
34.650002,35.779999,51465,51775,40.200001,42.049999,1524.4,1550.3,150.75
34.18,34.98,51215,51674,39.650002,40.400002,1535.45,1543.8,151.050003
32.220001,33.450001,49000,49430,36.700001,39.0,1486.45,1535.75,143.949997
29.02,30.25,43522,44378,33.700001,35.5,1396.25,1487.85,131.309998
29.65,30.09,43172,43659,36.75,38.150002,1478.15,1508.8,141.110001
29.629999,29.959999,43598,44541,37.599998,38.299999,1505.5,1507.6,141.919998
29.690001,30.280001,43916,44776,37.049999,37.75,1500.1,1518.95,142.089996
29.73,29.82,44905,45168,36.5,37.150002,1500.75,1508.95,142.149994
28.85,29.24,44180,44861,35.599998,36.299999,1484.4,1502.4,140.380005
30.440001,30.5,44462,44906,36.049999,36.400002,1501.45,1508.65,142.46000700000005
29.85,30.959999,44742,45165,36.900002,37.349998,1503.8,1518.95,140.809998
29.809999,29.83,44275,45062,36.150002,36.5,1493.8,1515.8,139.600006
29.030001,29.5,44861,45118,36.549999,37.549999,1487.65,1495.35,138.429993
28.709999,29.459999,44152,44516,35.849998,36.299999,1506.5,1509.5,137.809998
27.4,28.440001,42950,43314,34.450001,35.400002,1489.2,1506.65,134.630005
27.48,27.91,42281,43262,32.900002,33.950001,1484.55,1490.85,134.089996
